survey_id,faculty_id,course_code,student_level,rating_score,survey_term
SRV1109,GV107 ,CT101,Nam 1,"4,0",HK1- 2024
SRV1110, GV117,DA200,nam  2,"8,5",HK1- 2024
SRV1111,gv101,ct103 ,K18,"4,0", 2024-2 
SRV1112, GV117,ct103 ,nam  2,8.0,2024-1
SRV1113,GV118,FIN101,Nam 1,"8,5", 2024-2 
SRV1114, GV111,ct103 ,K17,8.0,2024-1
SRV1115, GV105,FIN101,Năm 1,3.5,2024-1
SRV1116,GV118,CT 102,Năm 1, 3.5 ,HK1-2024
SRV1117, GV108, da200,Năm 2,4.0,2024-1
SRV1118,GV118,DA200,K18,3.5,2024-1
SRV1119, GV110,DA200,Năm 2,"4,0",2024-1
